time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,ema20,bollinger_band,future_close,future_return,label
2025-04-09 03:45:00,3006.679,3009.164,3003.563,3004.464,3049,159,0,61.95118750237111,0.8144984056317481,2997.261346802847,0.0,3010.32,0.0019490997395875678,1
2025-04-09 04:00:00,3004.464,3009.354,2999.507,3006.73,4843,159,0,63.980271177539,0.609144299454143,2998.1631232978143,0.0,3012.407,0.0018880977008245284,1
2025-04-09 04:15:00,3006.648,3012.066,3006.15,3008.541,3407,159,0,65.56098342900856,0.5121626648653876,2999.151492507546,0.0,3015.742,0.0023935189847836616,1
2025-04-09 04:30:00,3008.546,3012.06,3007.46,3010.32,3262,160,0,67.08889098525461,0.484981245929692,3000.21515988778,0.0,3017.503,0.002386125063116211,1
2025-04-09 04:45:00,3010.346,3014.175,3008.48,3012.407,2880,159,0,68.83565990835643,0.5215246149007635,3001.376287517515,0.0,3015.93,0.0011694966848768056,1
2025-04-09 05:00:00,3012.37,3018.329,3005.502,3015.742,4546,159,0,71.44391287792423,0.6745495669447621,3002.744450611085,0.0,3015.45,-9.682525892479233e-05,-1
2025-04-09 05:15:00,3015.721,3020.536,3013.718,3017.503,4743,159,0,72.7412302331461,0.7905746600281649,3004.1500267433626,0.0,3020.433,0.0009710015201309945,1
2025-04-09 05:30:00,3017.476,3018.637,3012.102,3015.93,5619,160,0,69.69539998973526,0.6627567604842808,3005.27192895828,0.0,3029.399,0.004465952459108816,1
2025-04-09 05:45:00,3015.823,3018.233,3014.381,3015.45,3276,160,0,68.74939993208073,0.4570453725217671,3006.2412690574915,0.0,3030.369,0.004947520270606485,1
2025-04-09 06:00:00,3015.489,3025.244,3014.561,3020.433,6562,159,0,72.86679448345328,0.5608897845274594,3007.5928624805874,0.0,3039.063,0.006167989821326978,1
2025-04-09 06:15:00,3020.436,3033.295,3019.77,3029.399,6221,159,0,78.3851419531843,1.1062214528986924,3009.669637482436,1.0,3045.317,0.00525450757724556,1
2025-04-09 06:30:00,3029.296,3035.73,3027.949,3030.369,5485,159,0,78.88546121264662,1.3868742510133396,3011.6410053412515,1.0,3043.246,0.004249317492358176,1
2025-04-09 06:45:00,3030.33,3040.962,3029.588,3039.063,4650,159,0,82.74142068838178,1.9766858458732148,3014.25262388018,1.0,3046.143,0.002329665426481757,1
2025-04-09 07:00:00,3039.105,3052.375,3034.366,3045.317,7377,159,0,84.88043237704673,2.569132920111469,3017.2111358915918,1.0,3041.091,-0.0013877044655778406,0
2025-04-09 07:15:00,3045.313,3046.514,3041.29,3043.246,5230,159,0,81.28758125498548,2.595037182273277,3019.690646759059,1.0,3043.84,0.00019518632407634838,-1
2025-04-09 07:30:00,3043.202,3048.499,3041.253,3046.143,4833,159,0,82.40926081889234,2.5756169805412608,3022.2099184962917,0.0,3045.562,-0.00019073300235745037,-1
2025-04-09 07:45:00,3046.207,3047.508,3039.494,3041.091,3828,159,0,74.07080771689193,2.0156493602087195,3024.00811673474,0.0,3044.955,0.0012705966378513608,1
2025-04-09 08:00:00,3041.05,3047.341,3038.05,3043.84,4685,159,0,75.52217831176702,1.6394790408265116,3025.896867521908,0.0,3044.052,6.964886459209061e-05,-1
2025-04-09 08:15:00,3043.895,3051.233,3043.833,3045.562,3622,159,0,76.41283071921411,1.32895133356163,3027.7697372817256,0.0,3042.402,-0.001037575330924097,0
2025-04-09 08:30:00,3045.54,3046.511,3040.404,3044.955,3309,159,0,75.37175023124158,0.924185231461113,3029.4064289691805,0.0,3043.792,-0.0003819432471087458,-1
2025-04-09 08:45:00,3044.922,3046.893,3041.78,3044.052,2965,159,0,73.76172447869955,0.4605744035182191,3030.80124525783,0.0,3047.133,0.0010121377689998976,1
2025-04-09 09:00:00,3043.951,3046.368,3038.522,3042.402,3407,159,0,70.78626462468853,-0.0643374499906528,3031.9060790427984,0.0,3045.013,0.0008582034852724512,1
2025-04-09 09:15:00,3042.392,3047.992,3042.046,3043.792,2438,159,0,71.81763810520553,-0.4060025159216316,3033.0380715149126,0.0,3041.264,-0.0008305429543148128,0
2025-04-09 09:30:00,3043.817,3049.693,3043.442,3047.133,2958,159,0,74.17743491048535,-0.4894677741796087,3034.3804456563494,0.0,3039.476,-0.002512853885931365,0
2025-04-09 09:45:00,3047.099,3047.374,3044.572,3045.013,2445,159,0,70.16278124114255,-0.7541156744337929,3035.3930698795543,0.0,3043.238,-0.0005829203356439171,0
2025-04-09 10:00:00,3045.008,3046.98,3040.638,3041.264,3455,159,0,63.60671265047122,-1.2206922565543916,3035.9522060815016,0.0,3042.884,0.0005326732569089335,1
2025-04-09 10:15:00,3041.234,3042.676,3038.209,3039.476,3479,159,0,60.69386196776,-1.66144646572406,3036.2878055023107,0.0,3045.466,0.001970734429223913,1
